m/z_RT_node,CNAT12_TV104__WC,CNAT1_TV105__WC,CNAT9_TV106__WC,MCAV1_TV107__WC,MCAV2_TV108__WC,MCAV3_TV109__WC,MCAV6_TV110__WC,MMEA14_TV103__WC,MMEA202_TV100_WC,MMEA24_TV99__WC,MMEA2_TV102__WC,OFAV12_TV113__WC,OFAV2_TV111__WC,OFAV3_TV112__WC,OFAV7_TV114__WC
,CNAT,CNAT,CNAT,MCAV,MCAV,MCAV,MCAV,MMEA,MMEA,MMEA,MMEA,OFAV,OFAV,OFAV,OFAV
302.196_4.7_1783,0,1028134.258,1165062.613,599768.175,0,104539.8935,308276.1045,55267.849,0,603073.5235,0,24227.3725,7370.6685,7548.957,165805.1705
771.504_18.8_1399,0,109708.8305,37216.127,264429.6165,0,0,195213.52,11518.122,11184.719,77480.1605,23467.6635,173555.964,39519.4165,8377.53,0
470.347_11.8_1468,39534.6535,7573073.758,2134573.02,0,424297.2595,11612.04,1117518.983,3147177.073,0,2548569.088,2925669.199,4327400.254,1479022.987,6287330.377,369664.9085
391.21_8.2_1899,0,0,115289.221,1453352.108,69157.0995,1831343.036,59503.7055,0,0,0,0,0,0,1067940.36,605225.998
351.287_15.5_635,288969.2655,972357.254,502740.325,1127359.821,0,439620.954,969141.7835,792834.7675,658885.167,1187066.062,720546.3315,220175.489,309884.0575,369115.091,43724.819
788.609_19.9_4566,144572.276,14013.5985,33154.3155,58604.283,0,793772.0785,105431.579,92614.192,0,12016.768,0,0,19557.481,0,284033.777
528.316_11.5_2437,0,0,453477.195,0,0,0,25092.256,624253.0515,328823.4835,458112.2915,772037.809,9011.1375,0,12181.392,0
524.394_13.4_4103,212759.244,3.94E+07,3508473.132,7514750.155,1178702.036,19213.676,461777.029,1.12E+07,0,4331163.232,7028475.368,9355633.876,1625802.132,6344358.883,433305.005
788.556_23.7_1233,0,1329201.767,487560.734,2300841.293,0,0,1510583.168,620644.502,694525.882,1171762.146,1245556.367,1857571.718,1492950.553,313313.56,0
373.219_8.2_1422,0,603428.521,104353.76,752704.211,0,42536.6975,262719.79,707384.321,44443.1545,277115.6215,366011.984,363625.1085,639182.137,360262.512,145978.0445
535.321_15.5_2761,0,1563698.188,561789.7865,408728.8965,0,0,772609.6045,823765.8645,424322.651,720120.5405,2166011.471,1195137.226,702344.0325,58015.193,0
554.514_20.2_1876,0,0,25433.8425,178536.053,0,0,54628.186,11325.317,21359.1045,0,0,102245.6955,104048.55,501577.78,0
336.217_12.8_2734,0,881219.602,151732.081,64763.93,0,69664.156,78170.6885,628271.328,178321.697,913379.7905,783778.272,125788.2455,1012119.203,669773.0705,163746.913
518.287_10.8_5235,266374.6965,863600.225,344280.749,0,465715.567,132183.2595,1699875.411,1440831.721,309536.359,431339.1665,230696.436,246210.876,640289.597,370617.926,1258798.448
370.295_11.9_3220,0,919718.2335,202765.0785,0,0,195965.8405,765864.5385,179821.776,130689.832,343945.3575,25266.5915,300956.1715,146876.734,188423.0495,1186206.125
609.451_19.1_4045,0,588611.794,1445407.135,1299186.914,0,0,436224.8225,650455.829,737516.847,1223096.398,961437.404,319965.016,383550.4815,176220.8435,0
564.366_11.9_6120,0,0,0,0,0,1001785.467,0,0,0,0,0,0,0,0,0
322.31_20.5_1244,0,0,0,659280.85,15106.7475,304264.5765,1461670.897,0,0,0,0,0,0,0,41663.624
441.372_19.2_882,9547.215,0,183281.5885,0,0,567499.084,17889.741,7713.75,8158.821,47226.094,0,0,0,275252.587,530709.26
